tweet,polarity
kita lebih menyayangkan kalo penerima KIPK tuh malah salah sasaran. logikanya kita pasti bakalan memenuhi kebutuhan primer dulu baru sekunder baru tersier. masalahnya byk yg bisa sampai ke kebutuhan tersier. artinya harusnya tidak perlu dong KIPK?,negative
Udah biasa sih temen w yang kipk juga sebenernya tergolong mampu makan pun di story sering di resto2 mahal dan ngopinya pun elit. Bukan salah orangnya tapi emang pemerintah aja yg sering salah sasaran,negative
@nanasdinginn Iyaa kayak gitu belum lagi masalah gap kelas antara penerima bm/kipk dengan kelas menengah yang kadang bedanya tipis. Tapi kelas menengah gabisa dapet karrna gamasuk kriteria. Ketambahan yang salah sasaran rame wes.,negative
@wartegkhbahari @Reswara_ @undipmenfess @byAmandytch Bener kayak yang suka stand up comedi waktu kuliah semester 5 dia sambi jualan dicabut Lansung kipk nya. Kok yang baru baru ini enggak ya padahal banyak yang salah sasaran.,negative
smoga penerima kipk salah sasaran hidupnya sehat sehat yaaa ga ngrasain buat makan sehari hari aja masih mikir cukup apa enggaa..... gila anjir,negative
gue sebenernya bingung bgt sm org yg mampu rumah bagus dll. bisa dapet kipk?? bukannya ada survei trs foto rumah gaji ortu dll kok bisa selalu salah sasaran?? bukannya ngajuinnya jg rada susah ya? aneh bgt,negative
@alldayonmars @zaa_alli masalahnya grgr oknum salah sasaran anak kipk tepat sasaran yg bisa beli barang bagus dikit itu dikira mampu dan dijulidin seolah gaboleh hidup bahagia. Bahkan yg julid itu ternyata beneran iri karna dia ga lolos kipk,negative
@zaa_alli @itsurboihyl yg lu bilang bener bang tp yg ada di thread bener jg. Masalahnya grgr oknum salah sasaran persis kyk yg dibilang di thread beli barang bagus dikit dijulidin perkara dia anak kipk. Jadi seakan2 yg julid ini gabisa liat anak kipk bahagia,positive
@_rairawan lagu lama wkwk cuma ganti nama dari bm ke kipk doang lagiann kesel bgt ga sih salah sasaran gitu ada anaknya sederhana aja motor biasa bgt malah tapi pas lebaran ke rumah e lah guede.. kok bisa lolos bm ya.. apalagi yg gaya hidup e wes pake barang mewah.. apa ga nyebelin,negative
@redostyev @ceetzys @rules_im @fmuchtaar @dualogdua ya kalo pemerintah udah bisa BENER orang 'mampu' yang daftar KIPK juga ga bakalan keterima. Kalo mau nyalahin penerima yang 'mampu' karna daftar KIP pemerintah noh lebih salah karna gabisa tepat sasaran,negative
@undipmenfess kenapa ya... padahal juga udah viral byk yg salah sasaran sampe sekarang uda 2024 masi byk bgt org hedon kaya bisa dept kipk sbnrnya tu dinilai dr apa si? hoki kah?,negative
@zaa_alli Yakan?? Padahal poin org pada ga suka itu tuh ya karna emg kipk nya salah sasaran. Ngapa malah jadi crab mentality dah sksksks,negative
@undipmenfess heran.. iri dengki ko sama orang yang dibawah minimal sblm spill pastikan dulu bnr/gk yg koment² juga jgn langsung nyalahin apalagi lgsg nganggep yg dapet kipk byk yg salah sasaran ingat nder menfes ini juga dilihat anak kipk dan banyak yg terdzolimi gara² koment fitnah kalian,negative
kalo dulu ada spill kipk salah sasaran kayak gini pasti udah kena banyak tuh,negative
@fmuchtaar Fokus bukan disini bagaimana caranya menghentikan kipk bagi mahasiswa penerima manfaat kipk yg salah sasaran?? karna inclusion error mhsswa klrga ekonomi mampu/sejahtera/golongan tajir tp terdata penerima manfaat. Salah sasaran.,negative
@yaelahyeol makasi doanya ya mba end of diskusi ini aku mau bilang mba kan td katanya hidup susah aku juga &amp; anak kipk lain sama. Mungkin kita kalo mau nyerang bisa yg emg udh jelas2 salah sasaran kyk dia hedon sana sini taunya kipk aja mbaa-,negative
Jog pliss lu serem banget anjir tau banget kipk banyak yg salah sasaran. tau banget lu mau kasih sanksi sosial buat org yg gelapin uang KIP-K. dan tauuu banget lu yg bayar pajak dehh. TAPII GA FITNAH JUGAAK ANJIRRR. plisss sumpah kasian banget org jadi korban karena lu (cont..),negative
@yaelahyeol mbaaa itu masnya gaada mention beli motor mobil... jgn suka mix kasus mba karna yg dibahas mas nya bukan kipk salah sasaran...,negative
@kostanmu @sisilainpetrik @sbyfess Gabisa dikatakan salah sasaran juga sih kipk kan buat menunjang kebutuhan kuliah dia bahkan udah buat biaya hidup juga. Sedangkan dia beli barang yang menang dibutuhkan. Kecuali dia liburan foya foya beli fashion yang branded.,negative
@sbyfess Julit amat nder. Dia anak dkv dan bilang laptop buat kuliah dia ya kip memang programnya begini buat kuliah bukan buat hedon dan bukan buat flexing juga toh. Gini nih org fomo yg cuma ikut2 an hujat org salah sasaran kipk giliran beneran pake duit kipk nya dinyinyirin juga-,negative
@sadboinibba Penerima KIPK makan ga layak: Ih kasian kemana sih pemerintah Penerima KIPK makan layak 1 kali setelah 1 bulan makan ala kadarnya: SALAH SASARAN!!! HEDON!!!!!,negative
Dasar pantek foya2 pake duit kipk aja bangga cupu. Orang yg terus belain kipk salah sasaran termasuk jenis orang bangsat.,negative
@ivyologi NAH BENER BGTTT asli kayanya banyak bgt bantuin kipk ini yang salah sasaran mampu beli iphone padahal ,negative
@AciIsiAyam @taatkonstitusi @anggapph2 Ini udah dilakuin lewat kipk kan kak? Tapi kenyataannya pada salah sasaran. Kalau stan jelas dari seleksi masuk itu 0 kecurangan. Nilai orang2 itu dipampang real time pake proyektor dan ortu peserta pada liatin tuh nilai anaknya.,negative
@UGM_FESS Pantes banyak yg salty sama anak kipk salah sasaran ini salah satu contoh oknumnya wkwk,negative
@everylinlin @sbmptnfess apalagi nyuruh kuliah di kampus lain ini univ negri lain jd boleh ngasih tarif tinggi? banyak bgt pr para birokrat kampus buat benahin ini dari masalah ukt semenjak ptn bh sama masalah kipk yg skrg suka salah sasaran. bkn malah blng ya kalo murah mending ke kmpus A ,negative
Device gahar jadi kebutuhan primer/pokok di jurusan tertentu. Kritik kepada penerima KIPK yang salah sasaran karena uang beasiswa itu disalahgunakan untuk pemenuhan kebutuhan tersier yang di lain sisi masih banyak yang berjuang untuk memenuhi kebutuhan primer/pokoknya.,negative
@undipmenfess Dari dulu kasus kipk salah sasaran terus berulang gk ada tindakan apapun unt perbaikan. Manipulasi data permainan ordal dll. Kalau gk dillaporin ya begitu terus https://t.co/RHfUSfHXGV,negative
@gf0rcex @tanyakanrl itu bukan opini jelek tapi berdasarkan fakta lapangan yang ada kalau kamu ga terima berati kamu kurang melek terhadap susahnya pendidikan di negara ini mulai dari kipk yg salah sasaran UKT yg terlalu mencekik sambil kerja? part time sambil kuliah tidak semudah berbicara,negative
@UGM_FESS Harusnya malu banget mana ada anak kipk salah sasaran contek pas ujian hahahaha jadi topic hot dari smt lalu sampe smt ini,negative
pemerentah harus eval besar-besaran sih ini .dari kemare base univ2 udah banyak juga spill kipk salah sasaran,negative
@collegemenfess LAH MAKANYA UKT KULIAH DIMURAHIN! KIPK DIAWASIN BIAR GAK SALAH SASARAN! KESEJAHTERAAN NAKES DIPERHATIIN! GAJI NAKES DIJAMIN MERATA! JANGAN CUMA YG DIPERKOTAAN DOANG YG DIPERHATIIN! YG PELOSOK JUGA!,negative
@collegemenfess Gue sih nunggu bbgt point no 9. Awas aja kalo ampe ada 10ribu beasiswa salah sasaran macam kipk lagi ,negative
@aleaaazh @MyQoriSuwendo @urgentprivacy45 @usufes padahal diapun bisa kena tindak pidana kalau terbukti kipnya salah sasaran pemalsuan data dan pengembalian biaya kipk wkwk wayoooo,negative
@UGM_FESS Aneh jg. Banding ukt sulit tp byk kasus kipk salah sasaran. Lalu ada alasan itu bukan salah sasaran tp kipk berlebih kuota. Jd knp gak yg kesulitan begini diminta ajukan kipk,negative
ugm_fess melihat kegaduhan saat ini sender percaya mereka semua yg tidak tepat sasaran bakalan dapet karmanya masing2. sender salah satu penerima kipk angkatan 20 baru lulus februari. sempet mau mundur lulus biar bisa dapet uang kipk pdhl udh sidang dari januari. (cont..),negative
@tiwaylovers @YUPIEN_FESS yg bela palingan yg 11 12 alias penerima kipk salah sasaran ,negative
Makasi banget yang udah expose KIPK salah sasaran.. tapi tolong dievaluasi lagi justifikasi kecurigaan lu ya kalo cetek banget gw yg malu bacanya,negative
@UGM_FESS Siapa yg bilang kaum menengah pngen tukeran posisi sm orang susah cuma buat dapet KIPK? Kami protes KIPK yg salah sasaran secara tdk langsung jg menguntungkan kaum miskin kan? Klo soal sambat UKT tinggi &amp; ga bisa dpt beasiswa itu mnurutku valid. Kaum menengah ga boleh sambat kah?,negative
 asbun alert you missed the whole point of kipk salah sasaran men isin loh nek tok woco mneh mf mu iki ,negative
@UGM_FESS Sebagai penerima KIPK seharusnya km aware bahwa sumber masalahnya justru yang salah sasaran. Justru harusnya kalian lebih sebel di saat uang kipk kalian ngepres buat kebutuhan atau lebihnya ga banyak mereka bisa Hedon dan bikin kalian di julid in macem gini.,negative
Capek dengan drama KIPk. Sama aja kek drama kecurangan waktu UTBK. Mau dibahas sampe gmnapun keknya dampaknya kecil karena gatau lah Indonesia ini penindakan hukumnya ga begitu tegas. Udah keliatan salah sasaran pun tetep aja dapet. Udah keliatan curang pun tetep aja lolos. Capee,negative
@UGM_FESS kipk tuh nggak akan bisa diatasi dari dulu di kritisi tetep aja salah sasaran mulu. Orang² yg sebenernya mampu secara finansial tapi malsuin data bahkan nggak punya kendala buat makan orang tua masih mampu ya wassalam bro tanggung jawab di akhirat ni ntar.,negative
ugm_fess some of you yang nganggep anak kipk punya iphone sebagai sebuah penyalahgunaan sebenernya don't actually care about poor people yang ga kebagian kuota kipk karena kipk salah sasaran some of u cuma mau adu nasib aja karena u pikir orang miskin yang dibantu (cont..),negative
@Anjie_p17 @UGM_FESS Kalo maksudmu yg dibiayai kan cuman 8 semester. Kalo nambah semester gimana? ga nyambung sih konteksnya. Disini yg gue sanggah kan statement kalo HP = Salah sasaran. Gue yakin kalo anak KIPK yg tepat sasaran 80% menyelesaikan kuliahnya tepat waktu KNP?,negative
dr kmrn lewat mulu ajg anak kipk kampus lain yg salah sasaran bahkan ada yg make longchamp kek... apa ga malu dgn longchamp mu itu kau minta surat keterangan miskin ke kelurahanmu... mikir anjggggg ,negative
@equillebrium sarkas atau enggak ini udah out of pembahasan utama mahasiswa kipk salah sasaran &amp; hedon dan sempet witch hunt yang b aja walau tidak memungkiri banyak yg begini juga realitanya so yeah,negative
@meanagerie kek goddamit AYO DAH NGOMONG SATU YUJIEM DAN UNIV LAIN PERKARA INI SEMUA KIPK BUKANNYA MASALAHNYA ITU YG KENA TANGKAP BASAH ITU YG SALAH SASARAN &amp; HEDON OUT OF THE BOX YA? KOK NYAMPE BEGINI NJIR,negative
Hal yang SANGAT gw sayangkan dari diskursus KIPK ini adalah sempat ada narasi yang lewat di tl gue Cara berpakaiannya ga kayak anak KIPK . Gaya hidup? Oke itu poin utama kritik salah sasaran. Pakaian high-end brand? Ini juga bisa jadi poin tambahan kritik. Tapi cara berpakaian?,negative
TW// KIPK Himbauan buat semuanya untuk mencegah munculnya prasangka dan korban fitnah yang salah sasaran kalau ada yang seperti ini langsung dilaporkan ya jangan lempar bola liar sana sini apalagi kalau tujuannya biar bikin penasaran orang aja dan sebar hate ke (cont..),negative
@UGM_FESS yang ngebully anak kipk siapa? kita ngebully yg salah sasaran,negative
-11fess kalian gamau ribut2 soal KIPK yang salah sasaran kek kampus sebelah?,negative
Yujiem kata gue kurang kurangin deh sarkas yang jadi anak kipk gaboleh gini ya jadi anak kipk harus gini ya bla bla. Lu memperkeruh suasana doang jadinya melebar kemana mana. Yang dipermasalahkan itu kipk salah sasaran that's all. Kalo lu ngerasa lu bukan koruptor (cont..),negative
@UGM_FESS Lu kalo TEPAT SASARAN kenapa marah2 deh? YG DI ROASTING DARI KEMAREN KAN YG SALAH SASARAN. Apasih YG GA TEPAT SASARAN DIPERIKSA LATAR BELAKANGNYA PUN UDAH MEREKA MANIPULASI. EMANG MASUK AKAL ANAK KIPK PAKE HRV? TAS BRANDED?,negative
udah kipk sering salah sasaran trs ukt mahal. ya Allah kasian bgt orang mau menuntut ilmu malah dipersulit sama MEREKA,negative
Ugm_fess semisal judul skripsi peta persebaran fakultas penerima kipk salah sasaran bisa ngga ya kayaknya lagi rame,negative
@UGM_FESS Loh yg ngomong kyk gitu kan buat org yg dpet kipk tpi salah sasaran nder kalo km udh tepat sasaran mah santaaaiiii aja nder,negative
TL lagi rame banget sama kipk yujiem yg salah sasaran Really ask dehh buat yg curang² gitu kalian nggak takut kah kalau roda itu berputar ??,negative
merasa rendah diri semangat kaum middle class semoga rejeki kalian dipermudah lewat jalan lain semangat kaum yang memiliki privilege lebih semoga kalian makin dilancarkan rejekinya dan yang terakhir semangat kipk salah sasaran semoga kalian lebih bijak dan sadar diri,positive
@fakepetite @Polinesmnfs paling dia salah satu si penerima kipk salah sasaran itu ,negative
Saudara-saudaraku tentu ada penerima KIPK salah sasaran. Hal seperti ini perlu diperbaiki. Namun bukan jadi alasan untuk adu nasib apalagi membatalkan program ini secara keseluruhan. Lebih baik kita mendorong jaminan sosial universal maupun agenda penghidupan rakyat lainnya. https://t.co/nETF7rEKDL,negative
@UGM_FESS ya kalo emang ga ngerasa salah sasaran yaudah baguslah. gada yg nyenggol kipk yang bener2 butuh juga,negative
@sigitbagasp sepakat. memang sulit kalau urusannya udah struktural dan instrumennya birokrasi. mau pakai gerakan witch hunt ke penerima kipk salah sasaran pun gak akan tuntas kalau gak diselesaikan di akarnya. konflik struktural gini malah jadi horizontal antarmahasiswa.,negative
imbasnya apa? sisa kuota yang banyak karena ada mahasiswa tidak mampu yang menjemput bola kipk. setidaknya itu tren yang ada ketika awal-awal kipk muncul. hal ini menyebabkan univ/fakultas untuk mencari slot yang bisa mengisi tsb. di sini mungkin salah sasaran bermula.,negative
@Polinesmnfs Ni gue keluar bukannya iri wkwkw cuma kan kebanyakan kipk salah sasaran ya giliran ada yg beneran butuh gak lolos,negative
Kembali pada tujuan awal tautan ini kasus KIPK salah sasaran sy akui memang terjadi. Setidaknya ada beberapa kenalan yg saya ketahui menjadi penerimanya tp terkesan hedon &amp; tone deaf Akan tetapi saya juga mencoba untuk merefleksikan ke diri pribadi dan ini hasilnya:,negative
ternyata hari ini gue mens anjing pantesan kemaren marahin anak kipk salah sasaran segitunya,negative
liat kipk yang salah sasaran lagi rame sekarang kaya kok bisa org org tega gitu makan hak orang lain,negative
@UGM_FESS PUKIMAK TOLOL ANJING LO KALO NGRASA MAKENY BENER DAN LO TAU DIRI UDAH DIBANTU KIPK YA UDAH LO DIEM YANG DISINGGUNG DISINI YANG SALAH SASARAN/PENGGUNAAN NGERTI? UDAH KULIAH POLA PIKIR LO AH gausa geer deh.,negative
ugm_fess disini ada yg mau isi gform kipk salah sasaran ga ? nnti sender chat lwt tele mau ngirim tp trnyt di suruh submit nama pelapor jd maju mundur wkwk,negative
@UGM_FESS ga semua kipk salah sasaran Kan ini yg dibahas yg salah sasaran begoooo napa lu yg ketrigger dah,negative
menurutku kipk mau dia sasaran yg bener atau salah tetep salah kl dipake buat clubing jaga sikap ajasih..,negative
tetap semangat di tengah gempuran berita para penerima kipk yujiem yg salah sasaran,negative
Masih nunggu thread tentang siapa aja penerima kipk yg salah sasaran di seluruh PTN dan respon dari pemerintah karna ini meresahkan banget kasian temen² yg emang beneran butuh bantuan kipk tapi malah ga dapet.,negative
@Polinesmnfs ngapain irii wkwkwk alhamdulillahnya ortu gw masih dikasi rezeki bayar kuliah anaknya nder walai terseok seok wkwk ngga perlu ngambil hak orang lain yg lebih membutuhkan btw yg dibahas disini kipk yang salah sasaran kalo elu merasa berhak dapet kipk ya SELOW AJA KALEEE,negative
Dari kemarin lewat mulu menfes mengenai anak KIPK yang terduga salah sasaran.. Kalau boleh saran ya sebelum menjatuhkan si A B C mending perkuat opini dengan bukti dulu kalau cuma opini lemah kaya gini terasa fitnah jatuhnya.. kasihan,negative
Cok anak kipk mana yang mampu beli barang tersier yg gk masuk list kebutuhan sehari2 seharga gitu? Kipk harus dikaji ulang &amp; bener2 butuh pengecekan extra biar gak salah sasaran,negative
pembahasan KIPK semakin menarik salah sasaran beasiswa kaet biyen juga akeh perlu kah aku spill(?),negative
Lagi maraknya kipk yg salah sasaran jd teringat anak anak dikampungku pada ambil bidikmisi padahal mah rumahnya dikampung gede bagus trus ada jg teman satu jurusan dan sekampung rumahnya mah dikampung mah dua tingkat ortunya haji dan terkenal kaya wkwkwk,neutral
barang tersier. jangan menfessin anak mesin doang yang rame ayo yang kayak gini dikritisi ini juga bentuk sanksi sosial buat para penerima KIPK yang salah sasaran itu.,neutral
-plns udah mahasiswa kok gamau ikut mengkritisi penerima KIPK yang salah sasaran. jangan tone deaf ya coba buka mata kalian dan liat temen-temen kalian yang kurang mampu dan bener-brner layak buat jadi penerima KIPK tapi yang dapet KIPK malah pake uangnya buat beli (cont..),negative
@UGM_FESS ini mah belom valid buat dibilang salah sasaran. lagi² ya hp mahal ga selalu hedon asal sesuai fungsinya aja. terus kalo urusan kereta bisa jadi karena nyari kenyamanan. mohon yg lain lebih bijak lagi jangan sampe anak² kipk yg jujur malah sakit hatinya nanti,negative
@UGM_FESS kalau u emang berhak dan layak menerima KIPK gausah malu mereka yg salah sasaran aja gak pada malu,negative
Eh enak banget ya jadi target (salah sasaran) kipk. Udahlah sebenarnya mampu dapet uang sangu 4jutaan enak banget ya. Aku ngajuin keringanan ukt susahnya udah kayak apa aja mana ga dapet lihat aja tu ntar adekku juga mesti dapet ukt unggul ga kaget. Aneh banget deh ni dunia,negative
@dialektikall #nanyabeneran kalo emang KIPK nya salah sasaran bukannya itu salah pihak yg ngasih bukan si mahasiswanya?,negative
ew another masalah kipk salah sasaran ga mampu mah gausah hedon mbak. malu. calon2 kang korupsi njir ngeri rek,negative
@PartaiSocmed @prastow Tum bahas penyalahgunaan kipk dong. Lagi rame tuh. Kasus salah sasaran terjadi berulang2 bertahun2 tp kok gk pernah ada perbaikan,negative
wah soal kipk salah sasaran naik lagi mana nih yg anak kipk pake iphone??????(bukan buat kerja setau gw) yg suka nongki cantik di cafe overprized,negative
karena itulah gue benci banget sama anak kipk salah sasaran,negative
kampus aku keren bgt dah seteges itu menindak kipk salah sasaran,negative
ugm_fess lagi gila gilaan langsung spall spill penerima kipk yang salah sasaran wkwk,negative
link penerima kipk yujiem angkatan 2023 coba liat ada yang salah sasaran ga wkwk https://t.co/Zvf0x2aYdJ,negative
Solusi kipk ini menurut aku laporan aja ke pihak kampus dan sertakan buktinya terus minta hasil keputusannya karena ini pembahasan bertahun tahun salah sasaran mulu tim kipk pemerintah ini ngecek langsung kelapangan ke mahasiswa yang keterima kip data sama kenyataan bener ga,negative
@UGM_FESS Noj anak kipk salah sasaran baca! Jangan tolol aj,negative
@UGM_FESS Baik lpdp maupun iisma sama2 dikritik. Fokusnya yg beda. Kalau kipk krn salah sasaran. Kalau iisma &amp; lpdp lbh krn menghabiskan anggaran &amp; tdk sesuai sasaran. Yg diperlukan saat ini adalah kesetaraan akses fasilitas pendidikan. https://t.co/oO0jX2a6l6,negative
@gigantimaxed iyaaa lebih ke ada fess bahas kipk dan orang yg salah sasaran salah penggunaan,negative
Rektorat @UGMYogyakarta sbg pengambil keputusan akhir siapa yg berhak dpt kipk seharusnya bertanggungjawab pd kasus2 kipk salah sasaran begini. Terjadinya jg sdh bertahun2. Usutlah. Cc @nadiemmakarim @ditjendikti @Kemdikbud_RI @KPK_RI @KemenkeuRI,negative
@UGM_FESS iisma kan emang buat prestasi ya selama skill dan value ada ya gas kalau kipk salah sasaran baru antemi aja,negative
@gepreksamyang_ Untuk KIPK yang salah sasaran ya tentunya,negative
@UGM_FESS Kalau sadar salah data bs mengundurkan diri. Selama blm mengundurkan diri ya sm aja. Koruptor low profile Knp lapornya ke kamadiksi ? Penyalahgunaan kipk itu sdh terjadi bertahun2 = pasti ada anggota2 kamadiksi yg jg ex prnikmat kipk salah sasaran Yakin mrk akan tangani ? https://t.co/UHULs8Q0Bg,negative
untung bapakku masih sanggup mencukupinya and ya semoga penerima KIPK salah sasaran sadar deh klo ga ya dimiskinkan beneran ya allah,positive
semakin hari semakin banyak spal spil pengguna KIPK yang salah sasaran beruntung aku ga dapet sih alias ngeri jg kalau aku hidup pakai uang haram kayak gitu semua ilmuku yang didapet dari ngampus haram semua nanti aku kerja pakai skill dari kampus bayarannya juga harammmmmmm,negative
Dulu jaman kuliah pernah apply beasiswa tp dptnya pas semester akhir. Dapet dari bank BRI. Gw pakai buat ngurus perintilan skripsi dan bayar wisuda. Itu beneran beasiswa. Kalo KIPK itu bukan beasiswa ya? Jd yg apply harusnya bener2 orang ga mampu kan?,negative
Semalem meet up ama temen kuliah trus bahas soal ingpluencer penerima kipk yg lg viral. Tiba2 nyambung eh si A dulu jg dpt beasiswa BI kan? padahal mampu lho dia anak pak yai Ku bales pas daftar beasiswa prestasi jg dia lolos cuma krn dia ketua hima ,positive
@thaiteanjmn iya kalo mereka berprestasi harusnya daftar beasiswa. tapi jujur aja sih kipk dari tahun² kemarin pembagiannya parah² bgtt,negative
Heboh masalah kipk sebenernya masalah kek gitu udah bikin sakit hati dari dulu karena kampusku masalah beasiswa ga transparan malah yg dapet orang ytta aja alias orang dalem :) Gue kuliah + kerja + nugas sampe jarang lihat waktu bela-belain bayar kampus udah takdir kali ya,negative
Aku dulu juga sempet pengen daftar kuliah jalur KIPK (dulu namanya Bidikmisi rasanya) tapi kemudian sadar diri lah masih cukup mampu. Jadi pas kuliah berjuang banget biar bisa dapet beasiswa dari jalur yang lain sekaligus bantu ortu. Alhamdulillah rezeki mengikuti.,positive
Berawal dari satu spill KIPK merentet ke spill²an yang lain. Bener² gangerti sama beasiswa salah sasar gini ... Background checking-nya gimana ya :(,negative
Daftar Mahasiswi Undip Semarang Bergaya Hedon Diduga Terima Beasiswa KIPK Harus Mengembalikan https://t.co/Ezqs2n9g9a,negative
@undipmenfess Tidak tepat sasarannya KIPK di UNDIP ini adalah salah satu gagalnya sistem pendidikan kita. Nyaring mahasiswa/i yg bener2 butuh aja males mana kalo ada beasiswa daerah yg di ajuin kenalan atau keluarganya lah. Tolong dong ya bapak/ibu terhormat ini harus dibenahi!!,negative
@undipmenfess gua yatim ga dpt kipk anjg gua ttp daftar yg beasiswa berprestasi,negative
@convomfs tergantung ya kalo dom ku 5 7jt persemester + ukt dibayarin penuh jadi gabayar ukt lagi kalo dom kaya jkt gitu sekitar 7-8jt per semester buat uang saku banyak bukan? btp kipk jadi beasiswa terbesar nominalnya kedua SEINDONESIA (lebih tepatnya bantuan) jd kebayang lah,negative
@buszle @undipmenfess salah. tujuannya buat nambah duit jajan sementara beasiswa Kemendikbud khususnya KIPK diperuntukkan buat orang-orang yang emang dari golongan bawah. kalo mau nambah duit jajan part time aja jgn manja,negative
@undipmenfess nder kalo mampu dan berprestasi baiknya cari beasiswa untuk yg berprestasi aja kayak PPA kalo kipk kan sasarannya buat orang yg tidak mampu buat makan sehari hari aja susah apalagi buat kuliah tapi mereka punya mimpi buat kuliah meskipun punya banyak keterbatasan kalo haknya,negative
Eh beneran gatau tapi beasiswa KIPK itu di cek dulu ga latar belakang penerima nya kalau jaman dulu beasiswa Bidik Misi tuh sampe di cek kerumahnya. Kalau beasiswa yang lain mah formalitas yang penting ada surat keterangan tidak mampu yang bahkan bisa bayar ke orang kelurahan~,negative
Melihat kehebohan undip menfess ini menambah bingung gimana sistem yang berjalan di dunia pendidikan. Bukan masalah beasiswa kipk aja bisa aja ternyata penentuan UKT juga gini. Susah bener kalau mau benahin sistem ,negative
@tanyakanrl KIPK BUKAN BEASISWA TAPI BANTUAN BAGI MAHASISWA MISKIN. benerin yuk penyebutannya.,negative
kalo boleh tau nominal yang didapet dari beasiswa KIPK itu berapa deh?,neutral
pantesan yang miskin (gue) gabisa kuliah wong yang dapet kipk/beasiswa orang kaya semua ,negative
Lagi rame org yg spill kipk di kampus swasta jg ada semodelan gt make duit beasiswa dr pemda buat jajan ipun uang kuliah tiap semester tu turun dr 14 smp terakhir di angka 4 6jt. Tp dia smp lulus ttp cair dpt 14jt ,positive
opini lu yang jelek. KIPK bukan beasiswa. itu bantuan. BANTUAN. Kalau lu sempat sempatnya hedon ditengah tengah bantuan itu ya emang sebenarnya lu mampu byar ukt.,negative
@AndyHuskyyy @undipmenfess Paling gampang gni klo masih pake kipk/beasiswa jgn posting yg hedon2 biarpun itu pake duit nyari sendiri..yg di-posting bagian pas belajar aja. Marketing dong,neutral
Lagi rame soal mahasiswi gws pake fasilitas kaya beasiswa bidikmisi kipk anything else. Dari jaman kuliah gaada masalah yg paling bikin gue gedek selain orang orang lifestyle highclass mental tinggal kelas yg ngambil hak orang orang yg emang pantas menerima itu. Bro shame ,negative
klo ada kasus bidikmisi/kipk gini jadi keinget temen2 gw dpt tapi di rumahnya ada motor rumahnya bagus pnya sawah malah dpt. trs meanwhile gw yg anak piatu trs sumber dana cuma kakak gw gk dpt. bangsatt emang tuh org2 tapi akhirnya gw dpt beasiswa lain sampe lulus.,positive
@tanyarlfes Mereka gk tau rasanya mau ikut organisasi tp mundur krn biaya bingung membagi uang bensin sama uang makan yg gk seberapa belum lagi kalo motor rusak jas ujan robek gbs ngeganti. Gw gbisa beasiswa karna bokap pns makanya gw gemes bngt gw ngeliat yg dapet kipk gini malah hedon,negative
@tanyakanrl perubahan ekonomi boleh beli barang boleh tapi kalo ngonser nongki beli barang dipamerin pula sinting namanya. duit dipake buat seneng2 padahal dirinya sendiri masih ngemis pemerintah (KIPK adl BANTUAN BAGI MAHASISWA MISKIN bukan beasiswa).,negative
Orang-orang mampu berada daftar KIPK tuh mikir apa sih? Nyaplok kuota orang. kalau mau beasiswa PAKE BEASISWA YANG NGANDELIN OTAK WOI.,negative
sebel sejak kapan kipk jadi beasiswa? judulnya aja jelas jelas BANTUAN. nabung buat beli tas branded bisa buat bayar ukt ga bisa,negative
Saranku. Mending UNDIP MONEV DEH itu penerima beasiswa kipk.,positive
Beberapa orang berpikir KIPK itu beasiswa padahal buat yg gak mampu bukan yg gak mampu kalau gak hedon ,negative
sedehhh rek mantan crushku penerima beasiswa berprestasi tau akuu gmn kondisinya wkt kita satu sekolah. liat nih penerima kipk yg guayaaanya like selebb gedekk sendiri,positive
Buset ini orang² pd kenapa si ambil beasiswa yg bukan hak milik nya ga ada hak bjir nerima beasiswa kipk. Masih ada orang² diluar sana yg lebih berhak &amp; serius ingin kuliah,negative
@tweetsofana Anjim emang buat citra penerima beasiswa jadi buruk hanya gegara ulah sebagian penerima mental miskin jadi generalisir dah orang-orang. Yang pure low middle aja kadang masih banyak yang gak hoki soal KIPK,negative
@tanyarlfes gais mff oot selain kipk dan beasiswa prestasi itu apalagi ya bantuan di perkuliahan? siapa tau ada yang punya info...udah jarang ambil part time an karena kebentrok jadwal terus huhu,positive
@undipmenfess waduhh aku ukt gol 8 beasiswa bapaku aja belom bisa nnton konser nct ini yg kipk malah bs nnton konser nct duhhh malu mbaa,negative
@undipmenfess sebetulnya hal spt ini gakkan terjadi klo seleksi kipk betul2 ketat.. imo bukan purely salah dy jg si cuma emg ga etis. dulu pas sy kuliah jg ad bbrapa teman dpt beasiswa sampai 2-3 krn gak ad seleksi ketat. dy ampe bisa beli laptop ama sepatu bola mahal,negative
Lagi rame berita mhs kipk tapi hidupnya tidak seperti butuh bantuan jadi keingetan dulu agak kaget kating di SMA terus se kampus dan jadi se angkatan dia dapet beasiswa tidak mampu pdahal setau aku di sangat mampu diliat dari pergaulannya gimana sih kriteria menentukan,negative
@undipmenfess Anak yatim belum tentu miskin. KIPK tuh beasiswa miskin. Kalo dia anak yatim tapi penghasilan ibunya gede emang layak dapet KIPK? Secara definisi aja dah ga masuk. Hadeh,negative
Gua sedikit bersyukur waktu itu ga kepilih beasiswa macem kipk ini di kampus gua karna gua merasa ga pantes aja kalau dapet banyak yg lebih membutuhkan soalnya waktu itu daftar karna nemenin temen ,positive
