tweet,cleaning,preprocessing,Nama Universitas,longitude,latitude,label
@rellabellee @apeeeelllluuu @byAmandytch @undipmenfess Wkwkw akuu ngerti kok macem2 beasiswa makanya aku bingung knp pada masalahin KIP bukan beasiswa? Sejauh yg aku tau ya KIPK itu beasiswa untuk mahasiswa kurang mampu, rellabellee apeeeelllluuu byamandytch undipmenfess wkwkw akuu nge i kok macem2 beasiswa makanya aku bingung knp pada masalahin kip bukan beasiswa sejauh yg aku tau ya kipk itu beasiswa untuk mahasiswa kurang mampu,rellabellee apeeeelllluuu byamandytch undipmenfess wkwk nge i beasiswa bingung masalahin kip beasiswa ya kipk beasiswa mahasiswa,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
@hepibi @apeeeelllluuu @byAmandytch @undipmenfess Iya aku paham kok ini aku cuma nanya ini knp jadinya masalahin kalo KIPK bukan beasiswa? Kenapa bisa KIPK dibedain atau bukan disebut beasiswa? Kaya... kamu juga nyebut KIP ini sbg beasiswa knp yg lain blg KIP bukan beasiswa?, hepibi apeeeelllluuu byamandytch undipmenfess iya aku paham kok ini aku cuma nanya ini knp jadinya masalahin kalo kipk bukan beasiswa kenapa bisa kipk dibedain atau bukan disebut beasiswa kaya kamu juga nyebut kip ini sbg beasiswa knp yg lain blg kip bukan beasiswa ,hepibi apeeeelllluuu byamandytch undipmenfess iya paham masalahin kipk beasiswa kipk dibedain beasiswa sebut kip beasiswa bilang kip beasiswa,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
@Sarcofagus12 @apeeeelllluuu @byAmandytch @undipmenfess Wkwkw ga kok gue cuma bingung kenapa KIPK bukan bagian dari beasiswa? Kalo beasiswa lain gue jg ngerti bahkan lpdp mah gue jg daftar, sarcofagus12 apeeeelllluuu byamandytch undipmenfess wkwkw ga kok gue cuma bingung kenapa kipk bukan bagian dari beasiswa kalo beasiswa lain gue jg nge i bahkan lpdp mah gue jg daftar,sarcofagus12 apeeeelllluuu byamandytch undipmenfess wkwk bingung kipk beasiswa beasiswa nge i lpdp daftar,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
@byAmandytch @undipmenfess T-tapii ka... KIPK itu bantuan buat orang yang ga mampu secara ekonomi bukan termasuk beasiswa. Beda ka., byamandytch undipmenfess t tapii ka kipk itu bantuan buat orang yang ga mampu secara ekonomi bukan termasuk beasiswa beda ka ,byamandytch undipmenfess t kakak kipk bantu orang ekonomi beasiswa beda kakak,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
@byAmandytch @undipmenfess kipk tuh bukan beasiswa tp bantuan buat yang kurang mampu miskin beneran baru tau rasa lo, byamandytch undipmenfess kipk tuh bukan beasiswa tp bantuan buat yang kurang mampu miskin beneran baru tau rasa lo,byamandytch undipmenfess kipk beasiswa bantu miskin benar,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
Lol kipk bukan beasiswa. Gini aja gak bisa bedain awal nerima kamu tau gak apa itu kipk?,lol kipk bukan beasiswa gini aja gak bisa bedain awal nerima kamu tau gak apa itu kipk ,wkwk kipk beasiswa beda terima kipk,,,,Negative
Kipk tuh bukan beasiswa neng,kipk tuh bukan beasiswa neng,kipk beasiswa neng,,,,Negative
kipk kok beasiswa sih dek?,kipk kok beasiswa sih dek ,kipk beasiswa sih dek,,,,Negative
Another orang bego kenyang dikasih duit KIPK = BEASISWA??? LOL,another orang bego kenyang dikasih duit kipk beasiswa lol,another orang bodoh kenyang kasih duit kipk beasiswa wkwk,Universitas Indonesia,106.827185590632,-6.36031565,Negative
orang orang paham gasih sama KIPK? tolong ya bedain KIPK dan BEASISWA gemes bgt baca komenan yang bersangkutan,orang orang paham gasih sama kipk tolong ya bedain kipk dan beasiswa gemes bgt baca komenan yang bersangkutan,orang orang paham sih kipk tolong ya beda kipk beasiswa gemas baca komentar sangkut,,,,Negative
@byAmandytch @undipmenfess kipk bukn beasiswa btw, byamandytch undipmenfess kipk bukn beasiswa btw,byamandytch undipmenfess kipk beasiswa by the way,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
Udah kuliah tp gabisa bedain kipk sama beasiswa,udah kuliah tp gabisa bedain kipk sama beasiswa,kuliah beda kipk beasiswa,,,,Negative
beasiswa maksudnya beasiswa beneran ya bukan kipk ,beasiswa maksudnya beasiswa beneran ya bukan kipk ,beasiswa maksud beasiswa benar ya kipk,,,,Positive
@byAmandytch @undipmenfess kipk = beasiswa?????? sejak kapan woy kocak. kipk mah bantuan dari pemerintah untuk keluarga kurang mampu lawak banget manusia miskin nurani satu ini., byamandytch undipmenfess kipk beasiswa sejak kapan woy kocak kipk mah bantuan dari pemerintah untuk keluarga kurang mampu lawak banget manusia miskin nurani satu ini ,byamandytch undipmenfess kipk beasiswa oi kocak kipk bantu perintah keluarga lawak manusia miskin nurani,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
bukanny gk boleh tp gimana y minimal mikir si. bs beli ip 12 pro gaya hidup foya foya berarti usaha mu dibilang cukup mampu buat bayar ukt?? kipk itu bantuan buat orang yang gak mampu loh klo misalnya km butuh yg bisa buat meringankan biaya ukt cari beasiswa,bukanny gk boleh tp gimana y minimal mikir si bs beli ip 12 pro gaya hidup foya foya bera i usaha mu dibilang cukup mampu buat bayar ukt kipk itu bantuan buat orang yang gak mampu loh klo misalnya km butuh yg bisa buat meringankan biaya ukt cari beasiswa,bukanny iya minimal pikir sih beli ip 12 pro gaya hidup foya foya bera i usaha mu bilang bayar ukt kipk bantu orang butuh ringan biaya ukt cari beasiswa,Universita Teuku Umar,96.2034255956254,4.14449791067428,Negative
Kalo ga mau disinisin mending coba apply beasiswa yg lain ada BUANYAK (kalo mau cari tau). Kalo nyambi kerja kan udah ada penghasilan nih cabut aja itu kipk/bidikmisi u itu. Masih ada BANYAAAAAAK yg bener2 butuh,kalo ga mau disinisin mending coba apply beasiswa yg lain ada buanyak kalo mau cari tau kalo nyambi kerja kan udah ada penghasilan nih cabut aja itu kipk bidikmisi u itu masih ada banyaaaaaak yg bener2 butuh,sisi mending coba apply beasiswa ada cari sambi kerja ada hasil nih pergi kipk bidikmisi ada butuh,Universita Teuku Umar,96.2034255956254,4.14449791067428,Negative
Sejak kapan kipk itu beasiswa? Klo emng kakaknya udah ada usaha/uang lebih dari cukup mending mundur kipk lgi pula banyak kok beasiswa yang lain.,sejak kapan kipk itu beasiswa klo emng kakaknya udah ada usaha uang lebih dari cukup mending mundur kipk lgi pula banyak kok beasiswa yang lain ,kipk beasiswa kakak ada usaha uang mending mundur kipk beasiswa,,,,Negative
@byAmandytch @undipmenfess maaf ya kak aku bukan penerima kipk dan aku pengen banget kuliah. aku cari beasiswa sana sini kak buat bisa kuliah sampe akhirnya nemu. Aku ngerantau pakai uang ortuku seadanya aja Puji Tuhan masih mampu walau ga seberkecukupan kakak. hp ku ini pun dari sma gapernah ganti, byamandytch undipmenfess maaf ya kak aku bukan penerima kipk dan aku pengen banget kuliah aku cari beasiswa sana sini kak buat bisa kuliah sampe akhirnya nemu aku ngerantau pakai uang o uku seadanya aja puji tuhan masih mampu walau ga seberkecukupan kakak hp ku ini pun dari sma gapernah ganti,byamandytch undipmenfess maaf ya kak terima kipk kuliah cari beasiswa kak kuliah temu ngerantau pakai uang o uku ada puji tuhan cukup kakak handphone ku ganti,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
@pacarkimcotton @moonmilktea01 @redostyev @fmuchtaar @raykairi lah kipk (bidikmisi) poinnya bukan cuma di uang jajan aja. dia juga ngurusin UKT which DI LUAR uang saku. balik lagi ke regulasinua YANG SEHARUSNYA ditinjau kan pendapatan ortunya dan kualitas IPK-nya buat kualifikasi bisa dapet itu beasiswa. nah ortu dia gajinya &lt;4jt gak?, pacarkimcotton moonmilktea01 redostyev fmuchtaar raykairi lah kipk bidikmisi poinnya bukan cuma di uang jajan aja dia juga ngurusin ukt which di luar uang saku balik lagi ke regulasinua yang seharusnya ditinjau kan pendapatan o unya dan kualitas ipk nya buat kualifikasi bisa dapet itu beasiswa nah o u dia gajinya lt 4jt gak ,pacarkimcotton moonmilktea01 redostyev fmuchtaar raykairi kipk bidikmisi poin uang jajan urus ukt which uang saku regulasinua tinjau dapat o unya kualitas indeks prestasi kumulatif nya kualifikasi beasiswa o gaji lt 4jt,Universitas Negeri Yogyakarta,110.383763340711,-7.77301315,Positive
@undipmenfess KIP kuliah itu bantuan buat orang miskin bukan beasiswa bjir. Tapi ini juga salah pemerintah yang kasih bantuan sih regulasinya gak beres banget tolol. kebanyakan temenku yang terima bantuan KIP K dengan bangga bilang kalau data buat daftar KIPK itu mereka manipulasi fakk!!?, undipmenfess kip kuliah itu bantuan buat orang miskin bukan beasiswa bjir tapi ini juga salah pemerintah yang kasih bantuan sih regulasinya gak beres banget tolol kebanyakan temenku yang terima bantuan kip k dengan bangga bilang kalau data buat daftar kipk itu mereka manipulasi fakk ,undipmenfess kip kuliah bantu orang miskin beasiswa bjir salah perintah kasih bantu sih regulasi beres tolol banyak teman terima bantu kip k bangga bilang data daftar kipk manipulasi fakk,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
@byAmandytch @undipmenfess Dek tolong dibedakan ya antara Beasiswa dan KIPK. Beasiswa itu bisa diperoleh dari mana aja bisa dari swasta pemerintah atau pribadi Beasiswa bisa didapatkan walau kita mampu tp berprestasi. Klo KIPK itu pyur bantuan dari pemerintah untuk orang yg tidak mampu., byamandytch undipmenfess dek tolong dibedakan ya antara beasiswa dan kipk beasiswa itu bisa diperoleh dari mana aja bisa dari swasta pemerintah atau pribadi beasiswa bisa didapatkan walau kita mampu tp berprestasi klo kipk itu pyur bantuan dari pemerintah untuk orang yg tidak mampu ,byamandytch undipmenfess dek tolong beda ya beasiswa kipk beasiswa oleh swasta perintah pribadi beasiswa dapat prestasi kipk pyur bantu perintah orang,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
@byAmandytch @undipmenfess kamu tau kipk itu apa gak sih? kipk itu BUKAN BEASISWA itu BANTUAN yang diberikan PEMERINTAH UNTUK KAUM MISKIN. kamu termasuk miskin gak?, byamandytch undipmenfess kamu tau kipk itu apa gak sih kipk itu bukan beasiswa itu bantuan yang diberikan pemerintah untuk kaum miskin kamu termasuk miskin gak ,byamandytch undipmenfess kipk sih kipk beasiswa bantu perintah kaum miskin miskin,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
@Reswara_ @undipmenfess @byAmandytch Serius nanya KIPK emg beasiswa?? Bukannya bantuan untuk yg miskin??, reswara undipmenfess byamandytch serius nanya kipk emg beasiswa bukannya bantuan untuk yg miskin ,reswara undipmenfess byamandytch serius kipk beasiswa bantu miskin,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
abis baca keributan KIPK jadi keinget dulu semester 2 pernah ngajuin banding ukt sama beasiswa gara gara tau temen temen yg keliatan mampu pada ngajuin juga kek sekarang baru sadar ternyata saya tidak pantas mendapatkannya untung ga sampe tahap survey dan wawancara ,abis baca keributan kipk jadi keinget dulu semester 2 pernah ngajuin banding ukt sama beasiswa gara gara tau temen temen yg keliatan mampu pada ngajuin juga kek sekarang baru sadar ternyata saya tidak pantas mendapatkannya untung ga sampe tahap survey dan wawancara ,habis baca ribut kipk semester 2 aju banding ukt beasiswa gara gara teman teman aju sadar dapat untung tahap survei wawancara,Universitas Negeri Gorontalo,123.062666148111,0.5546668,Negative
@girlsloveee_ @apeeeelllluuu @byAmandytch @undipmenfess Mngkn mksdnya beasiswa brpa bntuan biaya pnddkan yg dpruntukkan u/ mhsiswa brprstasi &amp; krng mmpu. Krna u/ bs dpt KIPK ini jg mllui sleksi brp tes/ujian jg kak mgkin ini bwt mnylksi apkh mhsiswa ini berprestasi / engg slain syrtnya mhsswa yg krg mmpu. Tlong dkoreksi klo salah, girlsloveee apeeeelllluuu byamandytch undipmenfess mngkn mksdnya beasiswa brpa bntuan biaya pnddkan yg dpruntukkan u mhsiswa brprstasi amp krng mmpu krna u bs dpt kipk ini jg mllui sleksi brp tes ujian jg kak mgkin ini bwt mnylksi apkh mhsiswa ini berprestasi engg slain sy nya mhsswa yg krg mmpu tlong dkoreksi klo salah,girlsloveee apeeeelllluuu byamandytch undipmenfess maksud beasiswa bntuan biaya pnddkan dpruntukkan mhsiswa brprstasi kipk mllui sleksi tes uji kak mnylksi mhsiswa prestasi engg nya mhsswa tlong dkoreksi salah,Universitas Indonesia,106.827185590632,-6.36031565,Negative
oh ini ya orangnya. kak kipk bukan beasiswa melainkan bantuan. ada baiknya lepas bantuannya kalau kebutuhan tersier alias keinginannya itu tercukupi. kami orang-orang diluar sana yang gak mampu aja masih ngos-ngosan. semoga berkah deh ilmunya.,oh ini ya orangnya kak kipk bukan beasiswa melainkan bantuan ada baiknya lepas bantuannya kalau kebutuhan tersier alias keinginannya itu tercukupi kami orang orang diluar sana yang gak mampu aja masih ngos ngosan semoga berkah deh ilmunya ,oh ya orang kak kipk beasiswa bantu ada baik lepas bantu butuh tersier alias ingin cukup orang orang ngos ngosan moga berkah deh ilmu,Universita Teuku Umar,96.2034255956254,4.14449791067428,Negative
@byAmandytch @undipmenfess KIPK LOH KAKK??? tau kan kipk??? itu bukan beasiswa iya si beasiswa tapi untuk orang miskin bukan beasiswa jalur prestasi:(, byamandytch undipmenfess kipk loh kakk tau kan kipk itu bukan beasiswa iya si beasiswa tapi untuk orang miskin bukan beasiswa jalur prestasi ,byamandytch undipmenfess kipk kakak kipk beasiswa iya sih beasiswa orang miskin beasiswa jalur prestasi,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
Goblok anjir ni orng buset.. kipk tuh bantuan ya bangsat... bukan beasiswa.. tolol ya allah,goblok anjir ni orng buset kipk tuh bantuan ya bangsat bukan beasiswa tolol ya allah,goblok anjir nih orang buset kipk bantu ya bangsat beasiswa tolol ya allah,,,,Negative
@byAmandytch @undipmenfess KIPK ITU BANTUAN ORANG MISKIN! kalo mau beasiswa banyak kak lembaga/pemerintah yang menyediakan. Serius kah anak kuliah gabisa bedain bantuan orang miskin sama BEASISWA, byamandytch undipmenfess kipk itu bantuan orang miskin kalo mau beasiswa banyak kak lembaga pemerintah yang menyediakan serius kah anak kuliah gabisa bedain bantuan orang miskin sama beasiswa,byamandytch undipmenfess kipk bantu orang miskin beasiswa kak lembaga perintah sedia serius kah anak kuliah beda bantu orang miskin beasiswa,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
KIPK ITU BANTUAN NJIRRR MARAH BANGET GUA BGST KULIAH DI UNDIP TAPI GABISA BEDAIN BANTUAN SOSIAL DENGAN BEASISWA FUAGH,kipk itu bantuan njirrr marah banget gua bgst kuliah di undip tapi gabisa bedain bantuan sosial dengan beasiswa fuagh,kipk bantu anjir marah bangsat kuliah undip beda bantu sosial beasiswa fuagh,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
@AdeptusAstartia @itsurboihyl ya klo emg ekonomi nya membaik apalagi bisa menuhin kebutuhan tersier kaya brg2 branded bawa mobil kekampus jln2 ke Ln harusnya dgn sadar diri ngundurin beasiswa kipk nya toh kan gak pantes lagikan dibilang org miskin. masa gak malu sm branding di sosmed yg hedon itu, adeptusasta ia itsurboihyl ya klo emg ekonomi nya membaik apalagi bisa menuhin kebutuhan tersier kaya brg2 branded bawa mobil kekampus jln2 ke ln harusnya dgn sadar diri ngundurin beasiswa kipk nya toh kan gak pantes lagikan dibilang org miskin masa gak malu sm branding di sosmed yg hedon itu,adeptusasta itsurboihyl ya ekonomi nya baik penuh butuh tersier brg2 merek bawa mobil kampus jalan jalan ln sadar undur beasiswa kipk nya lagi bilang orang miskin malu branding media sosial boros,Universita Teuku Umar,96.2034255956254,4.14449791067428,Negative
kipk bukan beasiswa btw.. cmiiw,kipk bukan beasiswa btw cmiiw,kipk beasiswa by the way correct me if i am wrong,,,,Negative
@jeuswansammilk kipk dibilang beasiswa ges gws deh , jeuswansammilk kipk dibilang beasiswa ges gws deh ,jeuswansammilk kipk bilang beasiswa gas moga lekas sembuh deh,,,,Positive
kipk beasiswa?,kipk beasiswa ,kipk beasiswa,,,,Negative
Siapa yang bilang kipk beasiswa? Belajar dari mana kalau kipk itu beasiswa? Coba siapa yang ngajarin? Kalau sudah bisa menyanggupi kebutuhan tersier lepas itu kipk buat orang yang lebih membutuhkan. Orang yang beneran gak mampu aja ngos-ngosan haduh,siapa yang bilang kipk beasiswa belajar dari mana kalau kipk itu beasiswa coba siapa yang ngajarin kalau sudah bisa menyanggupi kebutuhan tersier lepas itu kipk buat orang yang lebih membutuhkan orang yang beneran gak mampu aja ngos ngosan haduh,bilang kipk beasiswa ajar kipk beasiswa coba ajar sanggup butuh tersier lepas kipk orang butuh orang benar ngos ngosan aduh,Universita Teuku Umar,96.2034255956254,4.14449791067428,Negative
Kipk itu bantuan bukan beasiswa amanda lu udh pake kipk tapi masih gk bisa bedain dua hal itu,kipk itu bantuan bukan beasiswa amanda lu udh pake kipk tapi masih gk bisa bedain dua hal itu,kipk bantu beasiswa amanda pakai kipk beda,,,,Negative
KIPK tu bukan beasiswa ya jink tapi bantuan untuk orang MISKIN. kocak.,kipk tu bukan beasiswa ya jink tapi bantuan untuk orang miskin kocak ,kipk beasiswa ya anjing bantu orang miskin kocak,,,,Negative
bedakan bantuan sama beasiswa tai kontolodon kipk masuknya ke bantuan buat orang miskin yang kurang mampu buat bayar kuliah sedangkan lu menyalahkangunakannya,bedakan bantuan sama beasiswa tai kontolodon kipk masuknya ke bantuan buat orang miskin yang kurang mampu buat bayar kuliah sedangkan lu menyalahkangunakannya,beda bantu beasiswa tahi kontolodon kipk masuk bantu orang miskin bayar kuliah menyalahkangunakannya,,,,Negative
tolong bedakan kipk dengan beasiswa please. kipk itu untuk mahasiswa miskin atau yatim kalau beasiswa mau kondisi ekonominya menjulang tetep bisa dapet.,tolong bedakan kipk dengan beasiswa please kipk itu untuk mahasiswa miskin atau yatim kalau beasiswa mau kondisi ekonominya menjulang tetep bisa dapet ,tolong beda kipk beasiswa please kipk mahasiswa miskin yatim beasiswa kondisi ekonomi julang,,,,Positive
@byAmandytch @undipmenfess kipk bukan beasiswa lol, byamandytch undipmenfess kipk bukan beasiswa lol,byamandytch undipmenfess kipk beasiswa wkwk,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
ehh iyaa lg. aku prnh tau org kyk gni tp bukan tmnku doi penerima kipk/bidikmisi gt tp ngakunya beasiswa dan ya sm kyk gini maunya dibilang beasiswa,ehh iyaa lg aku prnh tau org kyk gni tp bukan tmnku doi penerima kipk bidikmisi gt tp ngakunya beasiswa dan ya sm kyk gini maunya dibilang beasiswa,eh iya orang tmnku terima kipk bidikmisi aku beasiswa ya mau bilang beasiswa,,,,Negative
sejak kapan kipk jadi beasiswa?,sejak kapan kipk jadi beasiswa ,kipk beasiswa,,,,Negative
@kcimberley @undipmenfess temenku yg dpt kip rata2 pake ip sma motor nmax dan mereka g mau dibilang anak kipk tapi maunya dibilang beasiswa dan pas uangnya cair mereka rame² sambil tanya² punyamu udah cair belum fak kata gue mah, kcimberley undipmenfess temenku yg dpt kip rata2 pake ip sma motor nmax dan mereka g mau dibilang anak kipk tapi maunya dibilang beasiswa dan pas uangnya cair mereka rame sambil tanya punyamu udah cair belum fak kata gue mah,kcimberley undipmenfess teman kip pakai ip motor nmax bilang anak kipk mau bilang beasiswa pas uang cair ramai punya cair fuck,Universitas Diponegoro,110.440107056068,-7.0483698,Positive
Kalo ngomongin beasiswa yang gak merata ya lo suruh pemerintah lo itu buat adain BEASISWA LAIN selain KIPK jangan hak kaum marjinal lo ambil juga!!!!! Lagian beasiswa tuh banyak ya monyet bukan cuma KIPK kalo lo cuma mau jajan enak meanwhile ortu lo mampu mah nyari duit anjing,kalo ngomongin beasiswa yang gak merata ya lo suruh pemerintah lo itu buat adain beasiswa lain selain kipk jangan hak kaum marjinal lo ambil juga lagian beasiswa tuh banyak ya monyet bukan cuma kipk kalo lo cuma mau jajan enak meanwhile o u lo mampu mah nyari duit anjing,bicara beasiswa rata ya suruh perintah adakan beasiswa kipk hak kaum marjinal ambil beasiswa ya monyet kipk jajan enak meanwhile o cari duit anjing,Universitas Indonesia,106.827185590632,-6.36031565,Negative
Ni org gatau fungsi dan tujuan kipk apa gimana sih? Fungsi nya biaya hidup kan buat membiayai dia hidup kyk ngekos biaya makan transportasi. Bukannya ga boleh makan mewah tpi ya balik lagi tu duit bukan buat ngasih makan ego lu pada. Namanya juga beasiswa buat yg ga mampu jir.,ni org gatau fungsi dan tujuan kipk apa gimana sih fungsi nya biaya hidup kan buat membiayai dia hidup kyk ngekos biaya makan transpo asi bukannya ga boleh makan mewah tpi ya balik lagi tu duit bukan buat ngasih makan ego lu pada namanya juga beasiswa buat yg ga mampu jir ,nih orang fungsi tuju kipk sih fungsi nya biaya hidup biaya hidup ngekos biaya makan transpo asi makan mewah ya duit makan ego nama beasiswa jir,Universitas Indonesia,106.827185590632,-6.36031565,Negative
@rules_im @fmuchtaar harusnya kalian jgn salahin org yg nerima kipk kelas menengah jg kesulitan bayar ukt buat ongkos dan makan aja engap bgt. apalagi kebutuhan kuliah buku laptop. salahin pemerintah krn beasiswa harusnya bs dirasakan semua org yg ga mampu sekolah/kuliah., rules im fmuchtaar harusnya kalian jgn salahin org yg nerima kipk kelas menengah jg kesulitan bayar ukt buat ongkos dan makan aja engap bgt apalagi kebutuhan kuliah buku laptop salahin pemerintah krn beasiswa harusnya bs dirasakan semua org yg ga mampu sekolah kuliah ,rules im fmuchtaar salah orang terima kipk kelas tengah sulit bayar ukt ongkos makan pengap butuh kuliah buku laptop salah perintah beasiswa rasa orang sekolah kuliah,Universita Teuku Umar,96.2034255956254,4.14449791067428,Negative
Beasiswa itu untuk orang berprestasi kack kalo KIPK itu bukan beasiswa itu BANTUAN BUAT ORANG MISKIN wkwkwk,beasiswa itu untuk orang berprestasi kack kalo kipk itu bukan beasiswa itu bantuan buat orang miskin wkwkwk,beasiswa orang prestasi kack kipk beasiswa bantu orang miskin wkwk,,,,Negative
Kipk teh bukan beasiswa atuh,kipk teh bukan beasiswa atuh,kipk teh beasiswa atuh,,,,Negative
@humblelahpokoky @undipmenfess kalo suka ikut lomba ini itu kenapa ga daftar BEASISWA berprestasi aja? nabung sampe bisa beli ip 12 punya usaha tp kipk??? aneh., humblelahpokoky undipmenfess kalo suka ikut lomba ini itu kenapa ga daftar beasiswa berprestasi aja nabung sampe bisa beli ip 12 punya usaha tp kipk aneh ,humblelahpokoky undipmenfess suka lomba daftar beasiswa prestasi tabung beli ip 12 usaha kipk aneh,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
@byAmandytch @undipmenfess kipk itu bantuan buat orang yg kurang mampu btw bukan beasiswa. kamu teh kalo kaya gitu ya namanya sudah mampu., byamandytch undipmenfess kipk itu bantuan buat orang yg kurang mampu btw bukan beasiswa kamu teh kalo kaya gitu ya namanya sudah mampu ,byamandytch undipmenfess kipk bantu orang by the way beasiswa teh ya nama,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
@thegreatestpart @byAmandytch @undipmenfess wkwkw bnyk nih yg nganggap kipk itu beasiswa.. kan taiii, thegreatestpa byamandytch undipmenfess wkwkw bnyk nih yg nganggap kipk itu beasiswa kan taiii,thegreatestpa byamandytch undipmenfess wkwk nih nganggap kipk beasiswa taiii,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
@byAmandytch @undipmenfess Kipk tu bukan beasiswa tapi bantuan dari pemerintah buat kalangan bawah kalo lu dapet berarti lu miskin ya mbak? Hati² aja sih mbak takutnya jadi kenyataan :), byamandytch undipmenfess kipk tu bukan beasiswa tapi bantuan dari pemerintah buat kalangan bawah kalo lu dapet bera i lu miskin ya mbak hati aja sih mbak takutnya jadi kenyataan ,byamandytch undipmenfess kipk beasiswa bantu perintah kalang bera i miskin ya mbak hati sih mbak takut nyata,Universitas Diponegoro,110.440107056068,-7.0483698,Neutral
Dan atleast di daerah gue banyak jg anak2 yg sepemikiran kyk mereka. Coba KIPK bener2 ganti nama jd Beasiswa Bantuan Kuliah Pra-Sejahtera BBKPS entah apaan kek yg bener2 menunjukkan bahwa ini HANYA BUAT YG KURANG MAMPU. Kalo perlu rumahnya jg ditandain bgni- https://t.co/GIsBX16VDi,dan atleast di daerah gue banyak jg anak2 yg sepemikiran kyk mereka coba kipk bener2 ganti nama jd beasiswa bantuan kuliah pra sejahtera bbkps entah apaan kek yg bener2 menunjukkan bahwa ini hanya buat yg kurang mampu kalo perlu rumahnya jg ditandain bgni ,atleast daerah anak anak pikir coba kipk ganti nama beasiswa bantu kuliah pra sejahtera bbkps rumah ditandain,,,,Negative
Mending KIPK ganti nama deh banyak ortu-ortu di daerah gue yg bener2 mampu tapi kalo kumpul2 suka pamer iya anak saya kuliahnya gratis soalnya dia pinter dpt beasiswa KARTU INDONESIA PINTAR pdhl itu nyokapnya lg pake full perhiasan emas yg klo dijual bisa buat sampe S2 kali,mending kipk ganti nama deh banyak o u o u di daerah gue yg bener2 mampu tapi kalo kumpul2 suka pamer iya anak saya kuliahnya gratis soalnya dia pinter dpt beasiswa ka u indonesia pintar pdhl itu nyokapnya lg pake full perhiasan emas yg klo dijual bisa buat sampe s2 kali,mending kipk ganti nama deh o o daerah kumpul2 suka pamer iya anak kuliah gratis pintar beasiswa kakak indonesia pintar nyokapnya pakai full hias emas jual s2 kali,,,,Negative
Ya klo nabung dri duit beasiswa mah gajadi masalah. Yg bikin marah orang2 tuh anak kipk yg make duitnya buat foya foya atau orang golongan middle keatas yg pura2 miskin. Giliran yg bener2 kurang mampu buat bayar ukt gabisa buat idup juga pas pas an malah ga dpt beasiswa,ya klo nabung dri duit beasiswa mah gajadi masalah yg bikin marah orang2 tuh anak kipk yg make duitnya buat foya foya atau orang golongan middle keatas yg pura2 miskin giliran yg bener2 kurang mampu buat bayar ukt gabisa buat idup juga pas pas an malah ga dpt beasiswa,ya tabung duit beasiswa bikin marah orang orang anak kipk pakai duit foya foya orang golong pura pura miskin gilir bayar ukt hidup pas pas an beasiswa,Universitas Indonesia,106.827185590632,-6.36031565,Negative
sejak kapan kipk = beasiswa. research skarang ap gw pukul,sejak kapan kipk beasiswa research skarang ap gw pukul,kipk beasiswa research,,,,Negative
@byAmandytch @undipmenfess Sejak kapan KIPK itu beasiswa cok???, byamandytch undipmenfess sejak kapan kipk itu beasiswa cok ,byamandytch undipmenfess kipk beasiswa cok,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
@byAmandytch @undipmenfess Beasiswa ? Kipk bantuan btw , byamandytch undipmenfess beasiswa kipk bantuan btw ,byamandytch undipmenfess beasiswa kipk bantu by the way,Universitas Diponegoro,110.440107056068,-7.0483698,Negative
@Heraloebss Konsep UKT jaman sekarang ini aneh banget emang. Entah pake prinsip apa yg diambil Jaman sekarang anak PNS pukul rata kena mahal dan ga bisa apply beasiswa padahal ga semua PNS gaji diatas UMR. Tapi yg bisa dapet KIPK sama Bidikmisi bisa beli ipun, heraloebss konsep ukt jaman sekarang ini aneh banget emang entah pake prinsip apa yg diambil jaman sekarang anak pns pukul rata kena mahal dan ga bisa apply beasiswa padahal ga semua pns gaji diatas umr tapi yg bisa dapet kipk sama bidikmisi bisa beli ipun,heraloebss konsep ukt jaman aneh pakai prinsip ambil jaman anak pegawai negeri sipil kena mahal apply beasiswa pegawai negeri sipil gaji upah minimum regional kipk bidikmisi beli ipun,,,,Positive
